R.FileName,Condition,BioReplicate,Order,Label
20250123_Tulum_NeatCSF-DD_Seq1,Condition2,33,1,Good
20250123_Tulum_NeatCSF-DD_Seq2,Condition2,39,2,Good
20250123_Tulum_1to2CSF-DD_Seq3,Condition1,13,3,Good
20250123_Tulum_1to2CSF-DD_Seq4,Condition2,16,4,Good
20250123_Tulum_NeatCSF-DD_Seq5,Condition1,45,5,Good
20250123_Tulum_NeatCSF-DD_Seq6,Condition2,46,6,Good
20250123_Tulum_1to2CSF-DD_Seq7,Condition1,17,7,Good
20250123_Tulum_NeatCSF-DD_Seq8,Condition1,47,8,Good
20250123_Tulum_1to2CSF-DD_Seq9,Condition1,18,9,Good
20250123_Tulum_NeatCSF-DD_Seq10,Condition2,34,10,Good
20250123_Tulum_NeatCSF-DD_Seq11,Condition1,35,11,Good
20250123_Tulum_1to2CSF-DD_Seq12,Condition2,3,12,Good
20250123_Tulum_1to2CSF-DD_Seq13,Condition2,4,13,Good
20250123_Tulum_1to2CSF-DD_Seq14,Condition1,5,14,Good
20250123_Tulum_NeatCSF-DD_Seq15,Condition1,36,15,Good
20250123_Tulum_NeatCSF-DD_Seq16,Condition1,37,16,Good
20250123_Tulum_1to2CSF-DD_Seq17,Condition1,6,17,Good
20250123_Tulum_NeatCSF-DD_Seq18,Condition2,38,18,Good
20250123_Tulum_1to2CSF-DD_Seq19,Condition1,7,19,Good
20250123_Tulum_NeatCSF-DD_Seq20,Condition1,40,20,Good
20250123_Tulum_1to2CSF-DD_Seq21,Condition2,8,21,Good
20250123_Tulum_NeatCSF-DD_Seq22,Condition2,41,22,Good
20250123_Tulum_NeatCSF-DD_Seq23,Condition1,42,23,Good
20250123_Tulum_1to2CSF-DD_Seq24,Condition2,9,24,Good
20250123_Tulum_1to2CSF-DD_Seq25,Condition1,10,25,Good
20250123_Tulum_NeatCSF-DD_Seq26,Condition1,43,26,Good
20250123_Tulum_NeatCSF-DD_Seq27,Condition2,44,27,Good
20250123_Tulum_1to2CSF-DD_Seq28,Condition2,11,28,Good
20250123_Tulum_1to2CSF-DD_Seq29,Condition1,12,29,Good
20250123_Tulum_1to2CSF-DD_Seq30,Condition2,14,30,Bad
20250123_Tulum_1to4CSF-DD_Seq31,Condition1,21,31,Bad
20250123_Tulum_1to2CSF-DD_Seq32,Condition2,15,32,Bad
20250123_Tulum_1to8CSF-DD_Seq33,Condition1,24,33,Bad
20250123_Tulum_1to4CSF-DD_Seq34,Condition2,22,34,Bad
20250123_Tulum_1to16CSF-DD_Seq35,Condition1,1,35,Bad
20250123_Tulum_1to8CSF-DD_Seq36,Condition2,25,36,Bad
20250123_Tulum_1to32CSF-DD_Seq37,Condition1,19,37,Bad
20250123_Tulum_1to16CSF-DD_Seq38,Condition2,2,38,Bad
20250123_Tulum_1to64CSF-DD_Seq39,Condition1,23,39,Bad
20250123_Tulum_1to32CSF-DD_Seq40,Condition2,20,40,Bad
